gene	definition	group	log2foldchange	p.value	p.adjust
K05793	terB; tellurite resistance protein TerB	response	0.3737097	0.3070139	0.7509308
K05794	terC; tellurite resistance protein TerC	response	0.7040356	0.949321	0.9732675
K05795	terD; tellurium resistance protein TerD	response	0.3984189	0.08641073	0.5425491
K05796	hydN; electron transport protein HydN	progression	0.1318635	0.3181856	0.7578716
K05798	leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon	progression	0.2123287	0.6521621	0.9260799
K05799	pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex	response	0.5207984	0.07575269	0.5386655
K05800	ybaO; Lrp/AsnC family transcriptional regulator	progression	0.1771757	0.9727286	0.9932603
K05801	djlA; DnaJ like chaperone protein	response	0.4591723	0.1416447	0.6471459
K05802	mscK, kefA, aefA; potassium-dependent mechanosensitive channel	response	0.09422913	0.9746477	0.99341
K05803	nlpI; lipoprotein NlpI	progression	0.1810063	0.9467837	0.9732675
K05804	rob; AraC family transcriptional regulator, mar-sox-rob regulon activator	response	0.05042086	0.9183132	0.9732675
K05805	creA; CreA protein	progression	0.1523284	0.6521621	0.9260799
K05806	leuL; leu operon leader peptide	progression	0.4446328	0.1415595	0.6471459
K05807	bamD; outer membrane protein assembly factor BamD	response	0.397554	0.2206714	0.686963
K05808	yhbH; putative sigma-54 modulation protein	response	0.3206625	0.1257864	0.6196924
K05809	raiA; ribosome-associated inhibitor A	progression	0.2236398	0.6888048	0.9334848
K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]	response	0.4021865	0.1113469	0.587808
K05811	yfiM; putative lipoprotein	progression	0.222685	0.2484342	0.7042548
K05812	yfiP; DTW domain-containing protein	progression	0.1116046	0.8443574	0.9684812
K05813	ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein	response	0.4759198	0.2978602	0.7439571
K05814	ugpA; sn-glycerol 3-phosphate transport system permease protein	response	0.4426152	0.581541	0.910171
K05815	ugpE; sn-glycerol 3-phosphate transport system permease protein	response	0.5663733	0.1779096	0.6595618
K05816	ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]	response	0.6100036	0.5533971	0.9068061
K05817	hcaR; LysR family transcriptional regulator, hca operon transcriptional activator	response	0.8298322	0.02286433	0.4327822
K05818	mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator	progression	0.01088222	0.9358404	0.9732675
K05819	mhpT; MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter	response	0.09024483	0.3979771	0.8316003
K05820	hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter	response	0.2020131	0.6459619	0.9260799
K05822	dapH, dapD; tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]	response	0.1618177	0.581541	0.910171
K05823	dapL; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]	response	0.4055628	0.3384589	0.7805485
K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]	response	0.3530044	0.1257864	0.6196924
K05826	lysW; alpha-aminoadipate/glutamate carrier protein LysW	progression	0.0664104	0.5655631	0.9068061
K05827	lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]	progression	0.07405662	0.5655631	0.9068061
K05828	lysZ, argB; [amino group carrier protein]-L-2-aminoadipate 6-kinase [EC:2.7.2.17]	progression	0.06619484	0.5655631	0.9068061
K05829	lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.103 1.2.1.-]	progression	0.08169612	0.5655631	0.9068061
K05830	lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.118 2.6.1.-]	progression	0.07519501	0.1572992	0.6471459
K05831	lysK, argE; [amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]	progression	0.05282091	0.5655631	0.9068061
K05832	K05832; putative tryptophan/tyrosine transport system permease protein	response	0.3711524	0.1257864	0.6196924
K05833	K05833; putative tryptophan/tyrosine transport system ATP-binding protein	response	0.3529812	0.1113469	0.587808
K05834	rhtB; homoserine/homoserine lactone efflux protein	progression	0.2519957	0.6521621	0.9260799
K05835	rhtC; threonine efflux protein	progression	0.2343296	0.7935034	0.956964
K05836	hutC; GntR family transcriptional regulator, histidine utilization repressor	response	0.2459702	0.6549403	0.9260799
K05837	rodA, mrdB; rod shape determining protein RodA	response	0.4155688	0.02346498	0.4327822
K05838	ybbN; putative thioredoxin	response	0.4251376	0.6064448	0.9258243
K05839	hha; haemolysin expression modulating protein	response	0.07396918	0.8468156	0.9684812
K05841	E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]	response	0.06285193	0.4269079	0.8546847
K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	progression	0.1014849	0.9727286	0.9932603
K05845	opuC; osmoprotectant transport system substrate-binding protein	response	0.184553	0.6459619	0.9260799
K05846	opuBD; osmoprotectant transport system permease protein	response	0.0652067	0.8064959	0.956964
K05847	opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	response	0.1543125	0.8064959	0.956964
K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]	progression	0.1986172	0.8642779	0.9732675
K05873	cyaB; adenylate cyclase, class 2 [EC:4.6.1.1]	response	0.1736493	0.5812121	0.910171
K05874	tsr; methyl-accepting chemotaxis protein I, serine sensor receptor	progression	0.4593554	0.2121283	0.686963
K05875	tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor	progression	0.3144093	0.488197	0.8648426
K05876	trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	progression	0.2327118	0.2011217	0.6657432
K05877	tap; methyl-accepting chemotaxis protein IV, peptide sensor receptor	progression	0.2005954	0.5655631	0.9068061
K05878	dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	response	0.3457248	0.2206714	0.686963
K05879	dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	response	0.411908	0.3271869	0.7578716
K05880	dhaR; transcriptional activator for dhaKLM operon	progression	0.3031366	0.488197	0.8648426
K05881	dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	response	0.1804668	0.581541	0.910171
K05884	comC; L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]	response	0.5870074	0.1113469	0.587808
K05887	ydiB; quinate/shikimate dehydrogenase [EC:1.1.1.282]	progression	0.2995008	0.622128	0.9260799
K05895	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]	response	0.4389436	0.2703441	0.7221891
K05896	scpA; segregation and condensation protein A	response	0.4536673	0.06619258	0.5201979
K05898	kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]	progression	0.05331649	0.5655631	0.9068061
K05908	doxDA; thiosulfate dehydrogenase (quinone) [EC:1.8.5.2]	progression	0.01969151	0.7584429	0.9522438
K05910	npr; NADH peroxidase [EC:1.11.1.1]	progression	0.006335225	0.2412644	0.6947875
K05916	hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]	progression	0.3790946	0.622128	0.9260799
K05919	dfx; superoxide reductase [EC:1.15.1.2]	response	0.7641329	0.01692871	0.4327822
K05921	hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]	response	0.3143362	0.7413725	0.9522438
K05925	METTL3; mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348]	response	0.02640991	0.9151617	0.9732675
K05934	E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]	response	0.2568926	0.1779096	0.6595618
K05936	cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]	response	0.350472	0.05764939	0.5040692
K05937	K05937; uncharacterized protein	progression	0.02984741	0.5655631	0.9068061
K05939	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	response	0.1387447	0.8524527	0.9684812
K05942	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]	progression	0.2638199	0.5402914	0.8934715
K05946	tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	response	0.354199	0.1984493	0.6657432
K05952	K05952; uncharacterized protein	response	0.2426867	0.2412644	0.6947875
K05964	citX; holo-ACP synthase [EC:2.7.7.61]	progression	0.0615879	0.8050365	0.956964
K05966	citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	response	0.3296745	0.2801868	0.7286288
K05967	K05967; uncharacterized protein	response	0.5601095	0.3523972	0.792076
K05970	SIAE; sialate O-acetylesterase [EC:3.1.1.53]	response	0.5192653	0.1589959	0.6471459
K05979	comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	response	0.4294321	0.5159903	0.8837419
K05982	E3.1.21.7, nfi; deoxyribonuclease V [EC:3.1.21.7]	progression	0.1844497	0.9467837	0.9732675
K05984	cho; excinuclease Cho [EC:3.1.25.-]	progression	0.0856607	0.6888048	0.9334848
K05985	rnmV; ribonuclease M5 [EC:3.1.26.8]	response	0.4924498	0.08641073	0.5425491
K05988	dexA; dextranase [EC:3.2.1.11]	response	0.6047845	0.1586333	0.6471459
K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]	response	0.2230558	0.2446236	0.6947875
K05995	pepE; dipeptidase E [EC:3.4.13.21]	response	0.841607	0.1984493	0.6657432
K05997	sufA; Fe-S cluster assembly protein SufA	progression	0.08253107	0.6888048	0.9334848
K06001	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	response	0.1606288	0.6681702	0.9263661
K06006	cpxP, spy; periplasmic protein CpxP/Spy	response	0.2079567	0.2446236	0.6947875
K06012	gpr; spore protease [EC:3.4.24.78]	response	0.6136595	0.03208873	0.4596789
K06013	STE24; STE24 endopeptidase [EC:3.4.24.84]	progression	0.005778	0.949321	0.9732675
K06015	E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]	progression	0.03899899	0.2919091	0.7439571
K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	response	0.1641976	0.3912673	0.8241469
K06019	ppaX; pyrophosphatase PpaX [EC:3.6.1.1]	response	0.04135035	0.5201392	0.8867306
K06020	ettA; energy-dependent translational throttle protein EttA	response	0.3877389	0.1416447	0.6471459
K06023	hprK, ptsK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	response	0.3130756	0.1779096	0.6595618
K06024	scpB; segregation and condensation protein B	response	0.4509261	0.03208873	0.4596789
K06034	comD; sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]	response	0.2168043	0.3143013	0.7519279
K06039	ychN; uncharacterized protein involved in oxidation of intracellular sulfur	progression	0.06696719	0.8443574	0.9684812
K06041	kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]	response	0.3247814	0.1779096	0.6595618
K06042	cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	response	0.5023281	0.03208873	0.4596789
K06045	shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]	response	0.1628977	0.7068807	0.9401329
K06048	gshA, ybdK; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	progression	0.04361107	0.9183132	0.9732675
K06073	btuC; vitamin B12 transport system permease protein	progression	0.1033472	0.7248186	0.9497957
K06074	btuD; vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]	progression	0.136942	0.9183132	0.9732675
K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin	response	0.2184053	0.8064959	0.956964
K06076	fadL; long-chain fatty acid transport protein	response	0.1755985	0.4259831	0.853702
K06077	slyB; outer membrane lipoprotein SlyB	response	0.07549678	0.8998901	0.9732675
K06078	lpp; murein lipoprotein	progression	0.4406969	0.694581	0.9376526
K06079	cutF, nlpE; copper homeostasis protein (lipoprotein)	response	0.7683145	0.005857099	0.4327822
K06080	rcsF; RcsF protein	progression	0.1621753	0.5622186	0.9068061
K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	response	0.1811611	0.6242061	0.9260799
K06117	E3.1.3.21; glycerol-1-phosphatase [EC:3.1.3.21]	response	0.5269067	0.8880197	0.9732675
K06120	dhaB; glycerol dehydratase large subunit [EC:4.2.1.30]	response	0.01981514	0.6549403	0.9260799
K06121	dhbC; glycerol dehydratase medium subunit [EC:4.2.1.30]	response	0.0261589	0.6549403	0.9260799
K06122	dhbE; glycerol dehydratase small subunit [EC:4.2.1.30]	response	0.01209708	0.2412644	0.6947875
K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]	response	0.3532528	0.09824835	0.5651674
K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]	response	0.6116411	0.3583265	0.792076
K06133	LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]	response	0.2766684	0.1589959	0.6471459
K06135	pqqA; pyrroloquinoline quinone biosynthesis protein A	response	0.1578136	0.6549403	0.9260799
K06136	pqqB; pyrroloquinoline quinone biosynthesis protein B	response	0.1574672	0.6549403	0.9260799
K06137	pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]	response	0.2028917	0.6549403	0.9260799
K06138	pqqD; pyrroloquinoline quinone biosynthesis protein D	response	0.1999802	0.2412644	0.6947875
K06139	pqqE; PqqA peptide cyclase [EC:1.21.98.4]	response	0.6381489	0.05004352	0.490626
K06140	rnk; regulator of nucleoside diphosphate kinase	progression	0.1500631	0.6064448	0.9258243
K06141	tsgA; MFS transporter, TsgA protein	response	0.3654697	0.4779221	0.8612324
K06142	hlpA, ompH; outer membrane protein	response	0.4127537	0.07575269	0.5386655
K06143	creD; inner membrane protein	progression	0.05250009	0.5402914	0.8934715
K06144	uspB; universal stress protein B	progression	0.1680682	0.8443574	0.9684812
K06145	gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor	progression	0.06158514	0.4920006	0.8648426
K06146	idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator	progression	0.1754485	0.6727102	0.9298209
K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	response	0.2281451	0.3583265	0.792076
K06148	ABCC-BAC; ATP-binding cassette, subfamily C, bacterial	response	0.05520582	0.8063308	0.956964
K06149	uspA; universal stress protein A	progression	0.07714041	0.538322	0.8934715
K06151	E1.1.99.3A; gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]	response	0.2725341	0.6040198	0.9258243
K06152	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]	response	0.2702653	0.6040198	0.9258243
K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]	response	0.1964408	0.1589959	0.6471459
K06155	gntT; Gnt-I system high-affinity gluconate transporter	progression	0.1642137	0.7584429	0.9522438
K06156	gntU; Gnt-I system low-affinity gluconate transporter	response	0.1538117	0.3267659	0.7578716
K06157	idnT; Gnt-II system L-idonate transporter	progression	0.3833481	0.2858318	0.7395788
K06158	ABCF3; ATP-binding cassette, subfamily F, member 3	response	0.3909432	0.02346498	0.4327822
K06159	yojI; multidrug/microcin transport system ATP-binding/permease protein	progression	0.3636777	0.488197	0.8648426
K06162	phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	progression	0.1616979	0.9511278	0.9732675
K06163	phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	progression	0.003981001	0.7362088	0.9522438
K06164	phnI; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]	progression	0.1451766	0.9755684	0.99341
K06165	phnH; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]	progression	0.0661368	0.7589545	0.9522438
K06166	phnG; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]	progression	0.1479619	0.7594629	0.9522438
K06167	phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]	response	0.3920523	0.2446236	0.6947875
K06168	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	response	0.3311073	0.1257864	0.6196924
K06169	miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]	response	0.2427076	0.6549403	0.9260799
K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	response	0.3883956	0.008458416	0.4327822
K06174	ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1	response	0.2585534	0.2225471	0.686963
K06175	truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]	progression	0.07747547	0.6403398	0.9260799
K06176	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]	response	0.07733851	0.9486562	0.9732675
K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	response	0.1518904	0.2206714	0.686963
K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	response	0.2951944	0.03733642	0.4658764
K06179	rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]	response	0.4815109	0.06619258	0.5201979
K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	response	0.4057368	0.01430588	0.4327822
K06181	rluE; 23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]	response	0.1808086	0.80135	0.956964
K06182	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	response	0.2612516	0.5005595	0.8648426
K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	response	0.3037845	0.2446236	0.6947875
K06186	bamE, smpA; outer membrane protein assembly factor BamE	progression	0.1051088	0.8443574	0.9684812
K06187	recR; recombination protein RecR	response	0.2875911	0.1113469	0.587808
K06188	aqpZ; aquaporin Z	progression	0.2085673	0.6242061	0.9260799
K06189	corC; magnesium and cobalt transporter	progression	0.0969548	0.6064448	0.9258243
K06190	ispZ; intracellular septation protein	progression	0.115551	0.9467837	0.9732675
K06191	nrdH; glutaredoxin-like protein NrdH	response	0.556862	0.6453145	0.9260799
K06192	pqiB; paraquat-inducible protein B	progression	0.05720493	0.7683878	0.956964
K06193	phnA; protein PhnA	progression	0.3874434	0.6643055	0.9263661
K06194	nlpD; lipoprotein NlpD	progression	0.2515247	0.5402914	0.8934715
K06195	apaG; ApaG protein	progression	0.009129444	0.7789084	0.956964
K06196	ccdA; cytochrome c-type biogenesis protein	response	0.4015779	0.2703441	0.7221891
K06197	chaB; cation transport regulator	progression	0.1349695	1	1
K06198	coiA; competence protein CoiA	response	0.3865664	0.8374804	0.9684812
K06199	crcB, FEX; fluoride exporter	response	0.7091699	0.03208873	0.4596789
K06200	cstA; carbon starvation protein	response	0.4965588	0.06619258	0.5201979
K06201	cutC; copper homeostasis protein	response	0.3675754	0.01996445	0.4327822
K06202	cyaY; CyaY protein	response	0.04721372	1	1
K06203	cysZ; CysZ protein	progression	0.137837	0.805666	0.956964
K06204	dksA; DnaK suppressor protein	response	0.5877122	0.05004352	0.490626
K06205	mioC; MioC protein	progression	0.1842295	0.8188352	0.9628157
K06206	sfsA; sugar fermentation stimulation protein A	response	0.4913694	0.1984493	0.6657432
K06207	typA, bipA; GTP-binding protein	response	0.2802943	0.09824835	0.5651674
K06209	pheB; chorismate mutase [EC:5.4.99.5]	response	0.5062459	0.04329747	0.4741032
K06211	nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]	response	0.1974682	0.1211617	0.6196924
K06212	focA; formate transporter	progression	0.1084653	0.8958687	0.9732675
K06213	mgtE; magnesium transporter	response	0.3583132	0.09824835	0.5651674
K06214	csgG; curli production assembly/transport component CsgG	progression	0.3191935	0.7068807	0.9401329
K06215	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	response	0.1548048	0.3912673	0.8241469
K06216	rbsU; putative ribose uptake protein	response	0.03049278	0.6549403	0.9260799
K06217	phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins	response	0.2287667	0.1589959	0.6471459
K06218	relE, stbE; mRNA interferase RelE/StbE	response	0.4363849	0.3911643	0.8241469
K06219	smtA; S-adenosylmethionine-dependent methyltransferase	response	0.0004823279	0.8412939	0.9684812
K06221	dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	response	0.8795153	0.008458416	0.4327822
K06222	dkgB; 2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]	progression	0.1545051	0.8443574	0.9684812
K06223	dam; DNA adenine methylase [EC:2.1.1.72]	progression	0.2441362	0.3583265	0.792076
K06281	hyaB, hybC; hydrogenase large subunit [EC:1.12.99.6]	progression	0.09486055	0.8542396	0.9684812
K06282	hyaA, hybO; hydrogenase small subunit [EC:1.12.99.6]	progression	0.08704706	0.9025233	0.9732675
K06283	spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D	response	0.02007335	0.9025233	0.9732675
K06284	abrB; AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes	response	0.3548718	0.2978602	0.7439571
K06285	mtrB; transcription attenuation protein (tryptophan RNA-binding attenuator protein)	progression	0.05816084	0.5655631	0.9068061
K06286	ezrA; septation ring formation regulator	response	0.401028	1	1
K06287	maf; septum formation protein	response	0.3944074	0.01996445	0.4327822
K06295	gerKA; spore germination protein KA	response	0.5046673	0.2446236	0.6947875
K06296	gerKB; spore germination protein KB	progression	0.1138492	0.9755204	0.99341
K06297	gerKC; spore germination protein KC	response	0.01986678	0.6905354	0.9339
K06298	gerM; germination protein M	response	0.3013882	0.2703441	0.7221891
K06305	gerQ; spore germination protein Q	response	0.01057025	0.4795001	0.8612324
K06306	yaaH; spore germination protein	response	0.07231854	0.8050365	0.956964
K06310	yndD; spore germination protein	response	0.5350216	0.1779096	0.6595618
K06311	yndE; spore germination protein	response	0.1396041	0.5713252	0.910171
K06313	ypeB; spore germination protein	response	0.1061649	0.4811953	0.8627018
K06317	bofA; inhibitor of the pro-sigma K processing machinery	progression	0.00831923	0.9025233	0.9732675
K06320	cgeB; spore maturation protein CgeB	response	0.4018255	0.6453145	0.9260799
K06330	cotH; spore coat protein H	response	0.05674133	0.5622186	0.9068061
K06333	cotJB; spore coat protein JB	response	0.3180224	0.2978602	0.7439571
K06334	cotJC; spore coat protein JC	response	0.06064052	0.5005595	0.8648426
K06336	tasA, cotN; spore coat-associated protein N	response	0.1556151	0.1974722	0.6657432
K06338	cotSA; spore coat protein SA	progression	0.1060697	0.5461102	0.8987127
K06346	jag; spoIIIJ-associated protein	response	0.5455867	0.03733642	0.4658764
K06348	kapD; sporulation inhibitor KapD	response	0.5043635	0.06163742	0.5201979
K06349	kbaA; KinB signaling pathway activation protein	response	0.1304242	0.5113762	0.876348
K06350	kipA; antagonist of KipI	response	0.4097395	0.2978602	0.7439571
K06351	kipI; inhibitor of KinA	response	0.2818449	0.3583265	0.792076
K06370	safA; morphogenetic protein associated with SpoVID	response	0.04357547	0.4795001	0.8612324
K06373	spmA; spore maturation protein A	response	0.3143911	0.5402914	0.8934715
K06374	spmB; spore maturation protein B	response	0.4416617	0.2703441	0.7221891
K06378	spoIIAA; stage II sporulation protein AA (anti-sigma F factor antagonist)	response	0.5568472	0.1257864	0.6196924
K06379	spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	response	0.4464867	0.1589959	0.6471459
K06381	spoIID; stage II sporulation protein D	response	0.3316808	0.09824835	0.5651674
K06382	spoIIE; stage II sporulation protein E [EC:3.1.3.16]	response	0.3849878	0.05004352	0.490626
K06383	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	response	0.2846523	0.4624327	0.8612324
K06384	spoIIM; stage II sporulation protein M	response	0.3236611	0.07575269	0.5386655
K06385	spoIIP; stage II sporulation protein P	response	0.4063547	0.1779096	0.6595618
K06386	spoIIQ; stage II sporulation protein Q	progression	0.1307945	0.09108047	0.5651674
K06387	spoIIR; stage II sporulation protein R	response	0.4040272	0.2978602	0.7439571
K06390	spoIIIAA; stage III sporulation protein AA	response	0.3022422	0.2978602	0.7439571
K06391	spoIIIAB; stage III sporulation protein AB	response	0.3095488	0.3583265	0.792076
K06392	spoIIIAC; stage III sporulation protein AC	response	0.1369438	0.3912673	0.8241469
K06393	spoIIIAD; stage III sporulation protein AD	response	0.3897721	0.1416447	0.6471459
K06394	spoIIIAE; stage III sporulation protein AE	response	0.4209112	0.1984493	0.6657432
K06395	spoIIIAF; stage III sporulation protein AF	response	0.02955511	0.9025233	0.9732675
K06396	spoIIIAG; stage III sporulation protein AG	response	0.3226018	0.1984493	0.6657432
K06397	spoIIIAH; stage III sporulation protein AH	response	0.5566039	0.1257864	0.6196924
K06398	spoIVA; stage IV sporulation protein A	response	0.2961626	0.2446236	0.6947875
K06399	spoIVB; stage IV sporulation protein B [EC:3.4.21.116]	response	0.3269841	0.2446236	0.6947875
K06400	spoIVCA; site-specific DNA recombinase	response	0.1941995	0.2446236	0.6947875
K06402	spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]	response	0.4479299	0.2446236	0.6947875
K06403	spoVAA; stage V sporulation protein AA	response	0.1001556	0.8064959	0.956964
K06404	spoVAB; stage V sporulation protein AB	response	0.4420091	0.08641073	0.5425491
K06405	spoVAC; stage V sporulation protein AC	response	0.2258892	0.3271869	0.7578716
K06406	spoVAD; stage V sporulation protein AD	response	0.4144753	0.1779096	0.6595618
K06407	spoVAE; stage V sporulation protein AE	response	0.2912181	0.2446236	0.6947875
K06408	spoVAF; stage V sporulation protein AF	progression	0.2301385	0.9025233	0.9732675
K06409	spoVB; stage V sporulation protein B	response	0.4647312	0.08641073	0.5425491
K06410	spoVFA; dipicolinate synthase subunit A	response	0.4899941	0.1416447	0.6471459
K06411	spoVFB; dipicolinate synthase subunit B	response	0.1800901	0.5402914	0.8934715
K06412	spoVG; stage V sporulation protein G	response	0.1159918	0.7594629	0.9522438
K06413	spoVK; stage V sporulation protein K	response	0.1598439	0.2442131	0.6947875
K06415	spoVR; stage V sporulation protein R	progression	0.1603027	0.5842091	0.9114918
K06416	spoVS; stage V sporulation protein S	progression	0.1275361	0.8542396	0.9684812
K06418	SASP-A, sspA; small acid-soluble spore protein A (major alpha-type SASP)	progression	0.4826742	0.3908629	0.8241469
K06419	SASP-B, sspB; small acid-soluble spore protein B (major beta-type SASP)	response	0.4049614	0.2206714	0.686963
K06421	sspD; small acid-soluble spore protein D (minor alpha/beta-type SASP)	response	0.0321332	0.8542396	0.9684812
K06426	sspI; small acid-soluble spore protein I (minor)	response	0.01129209	0.4795001	0.8612324
K06436	yabG; spore coat assemly protein	response	0.01780702	0.4795001	0.8612324
K06438	yqfD; similar to stage IV sporulation protein	response	0.5180159	0.08641073	0.5425491
K06442	tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	response	0.254286	0.2446236	0.6947875
K06445	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	progression	0.123662	0.7782342	0.956964
